Sample	Type	Genomic Location (hg19)	P-value (ChIPseeqer)	Score (ChIPseeqer)	Peak Width	RefSeq ID	Entrez ID	Gene Symbol	Relative To Gene (prom=-2.0/+1.0kb)	TSS Distance	Closest RefSeq ID	Closest Entrez ID	Closest Gene Symbol	Relative To Closest Gene (prom=-2.0/+1.0kb)	TSS Closest Distance	Closest End RefSeq ID	Closest End Entrez ID	Closest End Gene Symbol	Relative To Closest Gene End (prom=-2.0/+1.0kb)	End Closest Distance	#1 Closest RefSeq ID	#1 Closest Entrez ID	#1 Closest Gene Symbol	#1 TSS Closest Distance	#2 Closest RefSeq ID	#2 Closest Entrez ID	#2 Closest Gene Symbol	#2 TSS Closest Distance	#3 Closest RefSeq ID	#3 Closest Entrez ID	#3 Closest Gene Symbol	#3 TSS Closest Distance	#4 Closest RefSeq ID	#4 Closest Entrez ID	#4 Closest Gene Symbol	#4 TSS Closest Distance	#5 Closest RefSeq ID	#5 Closest Entrez ID	#5 Closest Gene Symbol	#5 TSS Closest Distance	miR Symbol	Relative To miR	miR Start Closest Distance	miR Start Distance	Centromere/Telomere	Simple Tandem Repeats	ENCODE blacklist	Giulia blacklist	TAD domains	Genes in same TAD domain	Gene in TAD	Closest gene in TAD	Overlaps TSS	Peaks per gene	Genomic Location	ENCODE blacklist GRCh38	Peaks Per Gene	Peak Relative To Gene (prom=-2/+1kb)	Peak TSS Distance	Peak Relative To Closest Gene (prom=-2/+1kb)	Peak TSS Closest Distance	Peak Relative To Closest Gene End (prom=-2/+1kb)	Peak End Closest Distance	Peak Relative To miR	Peak miR Start Closest Distance	Peak miR Start Distance
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187456198-187456699	-22.6251	22.551	502	NM_001706	604	BCL6	intronic	7065	NM_001706	604	BCL6	intronic	7065.0	NR_036497	339929	LPP-AS2	intergenic	415428.0	NM_001706	604.0	BCL6	7065.0	NM_001004312	344892.0	RTP2	-36103.0	NR_034062	100131635.0	LOC100131635	36294.0	NM_001048	6750.0	SST	-68247.0	NM_022147	64108.0	RTP4	370280.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187456843-187459880	-87.2726	63.2297	3038	NM_001706	604	BCL6	intronic	5152	NM_001706	604	BCL6	intronic	5152.0	NR_036497	339929	LPP-AS2	intergenic	413515.0	NM_001706	604.0	BCL6	5152.0	NM_001004312	344892.0	RTP2	-38016.0	NR_034062	100131635.0	LOC100131635	38207.0	NM_001048	6750.0	SST	-70160.0	NM_022147	64108.0	RTP4	372193.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187460067-187460614	-21.6027	21.9392	548	NM_001706	604	BCL6	intronic	3173	NM_001706	604	BCL6	intronic	3173.0	NR_036497	339929	LPP-AS2	intergenic	411536.0	NM_001706	604.0	BCL6	3173.0	NM_001004312	344892.0	RTP2	-39995.0	NR_034062	100131635.0	LOC100131635	40186.0	NM_001048	6750.0	SST	-72139.0	NM_022147	64108.0	RTP4	374172.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187461055-187464167	-80.5474	59.5305	3113	NM_001706	604	BCL6	promoter,intronic	902	NM_001706	604	BCL6	promoter,intronic	902.0	NR_036497	339929	LPP-AS2	intergenic	409265.0	NM_001706	604.0	BCL6	902.0	NM_001004312	344892.0	RTP2	-42266.0	NR_034062	100131635.0	LOC100131635	42457.0	NM_001048	6750.0	SST	-74410.0	NM_022147	64108.0	RTP4	376443.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187464443-187464589	-23.0078	24.7077	147	NM_001706	604	BCL6	promoter	-1003	NM_001706	604	BCL6	promoter	-1003.0	NR_036497	339929	LPP-AS2	intergenic	407360.0	NM_001706	604.0	BCL6	-1003.0	NM_001004312	344892.0	RTP2	-44171.0	NR_034062	100131635.0	LOC100131635	44362.0	NM_001048	6750.0	SST	-76315.0	NM_022147	64108.0	RTP4	378348.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187464736-187465484	-36.1945	32.1314	749	NM_001706	604	BCL6	promoter	-1597	NM_001706	604	BCL6	promoter	-1597.0	NR_036497	339929	LPP-AS2	intergenic	406766.0	NM_001706	604.0	BCL6	-1597.0	NM_001004312	344892.0	RTP2	-44765.0	NR_034062	100131635.0	LOC100131635	44956.0	NM_001048	6750.0	SST	-76909.0	NM_022147	64108.0	RTP4	378942.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187466020-187466780	-29.9662	27.8016	761						NM_001706	604	BCL6	intergenic	-2887.0	NR_036497	339929	LPP-AS2	intergenic	405476.0	NM_001706	604.0	BCL6	-2887.0	NM_001004312	344892.0	RTP2	-46055.0	NR_034062	100131635.0	LOC100131635	46246.0	NM_001048	6750.0	SST	-78199.0	NM_022147	64108.0	RTP4	380232.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187467020-187467624	-26.9673	25.4431	605						NM_001706	604	BCL6	intergenic	-3809.0	NR_036497	339929	LPP-AS2	intergenic	404554.0	NM_001706	604.0	BCL6	-3809.0	NM_001004312	344892.0	RTP2	-46977.0	NR_034062	100131635.0	LOC100131635	47168.0	NM_001048	6750.0	SST	-79121.0	NM_022147	64108.0	RTP4	381154.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187467829-187468711	-49.6385	40.8697	883						NM_001706	604	BCL6	intergenic	-4757.0	NR_036497	339929	LPP-AS2	intergenic	403606.0	NM_001706	604.0	BCL6	-4757.0	NM_001004312	344892.0	RTP2	-47925.0	NR_034062	100131635.0	LOC100131635	48116.0	NM_001048	6750.0	SST	-80069.0	NM_022147	64108.0	RTP4	382102.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
TMD8-H3K27ACDiag_Lib-6_LE056	Diag	chr3:187468826-187468960	-16.008	18.0235	135						NM_001706	604	BCL6	intergenic	-5380.0	NR_036497	339929	LPP-AS2	intergenic	402983.0	NM_001706	604.0	BCL6	-5380.0	NM_001004312	344892.0	RTP2	-48548.0	NR_034062	100131635.0	LOC100131635	48739.0	NM_001048	6750.0	SST	-80692.0	NM_022147	64108.0	RTP4	382725.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187448622-187449034	-23.1412	23.8202	413	NR_034062;NM_001134738	100131635;604	LOC100131635;BCL6	intronic;intronic	28674;3867	NM_001134738	604	BCL6	intronic	3867.0	NM_001130845	604	BCL6	intronic	5457.0	NM_001134738	604.0	BCL6	3867.0	NM_001004312	344892.0	RTP2	-28483.0	NR_034062	100131635.0	LOC100131635	28674.0	NM_001048	6750.0	SST	-60627.0	NM_022147	64108.0	RTP4	362660.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187452281-187452476	-22.6381	23.895	196	NM_001134738	604	BCL6	promoter,intronic	317	NM_001134738	604	BCL6	promoter,intronic	317.0	NR_036497	339929	LPP-AS2	intergenic	419498.0	NM_001134738	604.0	BCL6	317.0	NM_001004312	344892.0	RTP2	-32033.0	NR_034062	100131635.0	LOC100131635	32224.0	NM_001048	6750.0	SST	-64177.0	NM_022147	64108.0	RTP4	366210.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187453296-187454491	-32.8639	28.7291	1196	NM_001130845	604	BCL6	promoter,exonic	392	NM_001134738	604	BCL6	promoter	-1198.0	NR_036497	339929	LPP-AS2	intergenic	417983.0	NM_001134738	604.0	BCL6	-1198.0	NM_001004312	344892.0	RTP2	-33548.0	NR_034062	100131635.0	LOC100131635	33739.0	NM_001048	6750.0	SST	-65692.0	NM_022147	64108.0	RTP4	367725.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187454800-187454940	-16.5088	17.3115	141	NM_001130845	604	BCL6	promoter	-585	NM_001706	604	BCL6	intronic	8643.0	NR_036497	339929	LPP-AS2	intergenic	417006.0	NM_001706	604.0	BCL6	8643.0	NM_001004312	344892.0	RTP2	-34525.0	NR_034062	100131635.0	LOC100131635	34716.0	NM_001048	6750.0	SST	-66669.0	NM_022147	64108.0	RTP4	368702.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187455185-187455453	-49.0388	40.3192	269	NM_001130845	604	BCL6	promoter	-1034	NM_001706	604	BCL6	intronic	8194.0	NR_036497	339929	LPP-AS2	intergenic	416557.0	NM_001706	604.0	BCL6	8194.0	NM_001004312	344892.0	RTP2	-34974.0	NR_034062	100131635.0	LOC100131635	35165.0	NM_001048	6750.0	SST	-67118.0	NM_022147	64108.0	RTP4	369151.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187455592-187464153	-199.4584	121.0363	8562	NM_001706	604	BCL6	intronic	3641	NM_001706	604	BCL6	intronic	3641.0	NR_036497	339929	LPP-AS2	intergenic	412004.0	NM_001706	604.0	BCL6	3641.0	NM_001004312	344892.0	RTP2	-39527.0	NR_034062	100131635.0	LOC100131635	39718.0	NM_001048	6750.0	SST	-71671.0	NM_022147	64108.0	RTP4	373704.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	6.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187464330-187469139	-149.3081	97.362	4810						NM_001706	604	BCL6	intergenic	-3221.0	NR_036497	339929	LPP-AS2	intergenic	405142.0	NM_001706	604.0	BCL6	-3221.0	NM_001004312	344892.0	RTP2	-46389.0	NR_034062	100131635.0	LOC100131635	46580.0	NM_001048	6750.0	SST	-78533.0	NM_022147	64108.0	RTP4	380566.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
HT-H3K27ACDiag_Lib-2_LE011	Diag	chr3:187469366-187469699	-21.2025	21.916	334						NM_001706	604	BCL6	intergenic	-6019.0	NR_036497	339929	LPP-AS2	intergenic	402344.0	NM_001706	604.0	BCL6	-6019.0	NM_001004312	344892.0	RTP2	-49187.0	NR_034062	100131635.0	LOC100131635	49378.0	NM_001048	6750.0	SST	-81331.0	NM_022147	64108.0	RTP4	383364.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
LY10-H3K27ACAM_Lib-6_LE052	ACAM	chr3:187457368-187457699	-23.7481	25.8608	332	NM_001706	604	BCL6	intronic	5980	NM_001706	604	BCL6	intronic	5980.0	NR_036497	339929	LPP-AS2	intergenic	414343.0	NM_001706	604.0	BCL6	5980.0	NM_001004312	344892.0	RTP2	-37188.0	NR_034062	100131635.0	LOC100131635	37379.0	NM_001048	6750.0	SST	-69332.0	NM_022147	64108.0	RTP4	371365.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
LY10-H3K27ACAM_Lib-6_LE052	ACAM	chr3:187457942-187458678	-56.3797	48.1485	737	NM_001706	604	BCL6	intronic	5203	NM_001706	604	BCL6	intronic	5203.0	NR_036497	339929	LPP-AS2	intergenic	413566.0	NM_001706	604.0	BCL6	5203.0	NM_001004312	344892.0	RTP2	-37965.0	NR_034062	100131635.0	LOC100131635	38156.0	NM_001048	6750.0	SST	-70109.0	NM_022147	64108.0	RTP4	372142.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
LY10-H3K27ACAM_Lib-6_LE052	ACAM	chr3:187458847-187459817	-37.9343	35.8044	971	NM_001706	604	BCL6	intronic	4181	NM_001706	604	BCL6	intronic	4181.0	NR_036497	339929	LPP-AS2	intergenic	412544.0	NM_001706	604.0	BCL6	4181.0	NM_001004312	344892.0	RTP2	-38987.0	NR_034062	100131635.0	LOC100131635	39178.0	NM_001048	6750.0	SST	-71131.0	NM_022147	64108.0	RTP4	373164.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
LY10-H3K27ACAM_Lib-6_LE052	ACAM	chr3:187460162-187460305	-17.9432	21.0319	144	NM_001706	604	BCL6	intronic	3280	NM_001706	604	BCL6	intronic	3280.0	NR_036497	339929	LPP-AS2	intergenic	411643.0	NM_001706	604.0	BCL6	3280.0	NM_001004312	344892.0	RTP2	-39888.0	NR_034062	100131635.0	LOC100131635	40079.0	NM_001048	6750.0	SST	-72032.0	NM_022147	64108.0	RTP4	374065.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
